Duration of flow,no of packets,no of bytes,pair flows,growth of single flows,growth of different ports,Label
1.28571428571429,176.857142857143,17332,1.14285714285714,0,0.580176498828204,0
1.28571428571429,186.857142857143,18312,1.14285714285714,0,0.5763504836399,0
2,197.857142857143,19390,1.14285714285714,0,0.574816134525184,0
2,206.857142857143,20272,1.14285714285714,0,0.573833004626222,0
2,220.857142857143,21644,1.14285714285714,0,0.574465031119851,0
2.28571428571429,234.428571428571,22974,1.14285714285714,0,0.578961026627516,0
2.28571428571429,240.142857142857,23534,1.14285714285714,0,0.575894348484011,0
2.28571428571429,250.857142857143,24584,1.14285714285714,0,0.578839471874636,0
2.28571428571429,261.142857142857,25592,1.14285714285714,0,0.575767991926105,0
2.28571428571429,272.714285714286,26726,1.14285714285714,0,0.578001803977239,0
2.28571428571429,281.428571428571,27580,1.14285714285714,0,0.575186807884251,0
2.57142857142857,292.142857142857,28630,1.14285714285714,0,0.577764006891892,0
3,306.142857142857,30002,1.14285714285714,0,0.581803278188249,0
3,314.142857142857,30786,1.14285714285714,0,0.578605588027273,0
3,320.142857142857,31374,1.14285714285714,0,0.579067495544789,0
3.28571428571429,334.142857142857,32746,1.14285714285714,0,0.57956849918391,0
3.28571428571429,346.142857142857,33922,1.14285714285714,0,0.579623602707183,0
3.28571428571429,351.857142857143,34482,1.14285714285714,0,0.575633553591067,0
3.28571428571429,360.142857142857,35294,1.14285714285714,0,0.578732980311259,0
3.28571428571429,370.142857142857,36274,1.14285714285714,0,0.577330504732074,0
3.28571428571429,382.142857142857,37450,1.14285714285714,0,0.57653737196089,0
3.57142857142857,390.142857142857,38234,1.14285714285714,0,0.575636581976634,0
4,396.857142857143,38892,1.14285714285714,0,0.577913695382744,0
4,405.142857142857,39704,1.14285714285714,0,0.577255735575662,0
4,418.857142857143,41048,1.14285714285714,0,0.584165444907563,0
4.28571428571429,429.857142857143,42126,1.14285714285714,0,0.581986425186169,0
4.28571428571429,438.857142857143,43008,1.14285714285714,0,0.575611328849423,0
4.28571428571429,448.857142857143,43988,1.14285714285714,0,0.576602073005032,0
4.28571428571429,455.428571428571,44632,1.14285714285714,0,0.578911935160674,0
4.28571428571429,469.857142857143,46046,1.14285714285714,0,0.573454691043029,0
4.28571428571429,480.428571428571,47082,1.14285714285714,0,0.581443939225907,0
4.57142857142857,488.857142857143,47908,1.14285714285714,0,0.572825771157804,0
5,498.428571428572,48846,1.14285714285714,0,0.573882756524604,0
